year,source,hsanum,hsacity,hsastate,agesex_grp,pop
2010,Census+HUD,20018,Houlton,ME,F_25_29,404.96032
2010,Census+HUD,20019,Lewiston,ME,F_25_29,3567.9095
2010,Census+HUD,20020,Lincoln,ME,F_25_29,384.42808
2010,Census+HUD,20021,Machias,ME,F_25_29,391.29688000000004
2010,Census+HUD,20022,Millinocket,ME,F_25_29,328.62968
2010,Census+HUD,20023,Norway,ME,F_25_29,663.8933499999999
2010,Census+HUD,20024,Pittsfield,ME,F_25_29,520.55531
2010,Census+HUD,20025,Portland,ME,F_25_29,7599.0559
2010,Census+HUD,20026,Presque Isle,ME,F_25_29,525.20032
2010,Census+HUD,20027,Rockland,ME,F_25_29,1139.8819
2010,Census+HUD,20028,Rumford,ME,F_25_29,420.2248000000001
2010,Census+HUD,20029,Sanford,ME,F_25_29,1263.07599
2010,Census+HUD,20030,Skowhegan,ME,F_25_29,767.77822
2010,Census+HUD,20031,Waterville,ME,F_25_29,1954.12722
2010,Census+HUD,20033,York,ME,F_25_29,1064.48826
2010,Census+HUD,20035,Greenville,ME,F_25_29,43.78128
2010,Census+HUD,30006,Dover,NH,F_25_29,331.01409
2010,Census+HUD,20001,Augusta,ME,F_30_34,1915.78938
2010,Census+HUD,20002,Bangor,ME,F_30_34,3517.1448199999995
2010,Census+HUD,20003,Bar Harbor,ME,F_30_34,263.66704
2010,Census+HUD,20005,Belfast,ME,F_30_34,604.7139
2010,Census+HUD,20006,Biddeford,ME,F_30_34,2104.3896
2010,Census+HUD,20007,Blue Hill,ME,F_30_34,293.2488
2010,Census+HUD,20008,Boothbay Harbor,ME,F_30_34,150.56712
2010,Census+HUD,20009,Bridgton,ME,F_30_34,546.0888
2010,Census+HUD,20010,Brunswick,ME,F_30_34,2062.55898
2010,Census+HUD,20011,Calais,ME,F_30_34,282.06472
2010,Census+HUD,20012,Caribou,ME,F_30_34,463.08864
2010,Census+HUD,20013,Damariscotta,ME,F_30_34,262.14408000000003
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_30_34,481.86118999999997
2010,Census+HUD,20015,Ellsworth,ME,F_30_34,669.5948800000001
2010,Census+HUD,20016,Farmington,ME,F_30_34,995.49185
2010,Census+HUD,20017,Fort Kent,ME,F_30_34,350.15472
2010,Census+HUD,20018,Houlton,ME,F_30_34,414.05415999999997
2010,Census+HUD,20019,Lewiston,ME,F_30_34,3573.5951600000003
2010,Census+HUD,20020,Lincoln,ME,F_30_34,342.79221
2010,Census+HUD,20021,Machias,ME,F_30_34,392.26784000000004
2010,Census+HUD,20022,Millinocket,ME,F_30_34,294.52108999999996
2010,Census+HUD,20023,Norway,ME,F_30_34,691.07912
2010,Census+HUD,20024,Pittsfield,ME,F_30_34,513.60064
2010,Census+HUD,20025,Portland,ME,F_30_34,7322.877600000001
2010,Census+HUD,20026,Presque Isle,ME,F_30_34,542.54184
2010,Census+HUD,20027,Rockland,ME,F_30_34,1210.06802
2010,Census+HUD,20028,Rumford,ME,F_30_34,436.81925
2010,Census+HUD,20029,Sanford,ME,F_30_34,1306.7144
2010,Census+HUD,20030,Skowhegan,ME,F_30_34,821.2906
2010,Census+HUD,20031,Waterville,ME,F_30_34,1962.41748
2010,Census+HUD,20033,York,ME,F_30_34,1101.2656
2010,Census+HUD,20035,Greenville,ME,F_30_34,46.040789999999994
2010,Census+HUD,30006,Dover,NH,F_30_34,342.4504
2010,Census+HUD,20001,Augusta,ME,F_35_39,2158.92894
2010,Census+HUD,20002,Bangor,ME,F_35_39,3858.0169399999995
2010,Census+HUD,20003,Bar Harbor,ME,F_35_39,301.11088
2010,Census+HUD,20005,Belfast,ME,F_35_39,640.9409999999999
2010,Census+HUD,20006,Biddeford,ME,F_35_39,2394.9210000000003
2010,Census+HUD,20007,Blue Hill,ME,F_35_39,334.8936
2010,Census+HUD,20008,Boothbay Harbor,ME,F_35_39,180.03417
2010,Census+HUD,20009,Bridgton,ME,F_35_39,599.2547
2010,Census+HUD,20010,Brunswick,ME,F_35_39,2369.1697599999998
2010,Census+HUD,20011,Calais,ME,F_35_39,291.49015
2010,Census+HUD,20012,Caribou,ME,F_35_39,532.34048
2010,Census+HUD,20013,Damariscotta,ME,F_35_39,313.44753000000003
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_35_39,591.04215
2010,Census+HUD,20015,Ellsworth,ME,F_35_39,753.0625
2010,Census+HUD,20016,Farmington,ME,F_35_39,1046.6095500000001
2010,Census+HUD,20017,Fort Kent,ME,F_35_39,402.51804000000004
2010,Census+HUD,20018,Houlton,ME,F_35_39,471.7221
2010,Census+HUD,20019,Lewiston,ME,F_35_39,3616.3823700000003
2010,Census+HUD,20020,Lincoln,ME,F_35_39,375.89722
2010,Census+HUD,20021,Machias,ME,F_35_39,405.3758
2010,Census+HUD,20022,Millinocket,ME,F_35_39,323.5389
2010,Census+HUD,20023,Norway,ME,F_35_39,755.1214
2010,Census+HUD,20024,Pittsfield,ME,F_35_39,570.8031100000001
2010,Census+HUD,20025,Portland,ME,F_35_39,8072.75003
2010,Census+HUD,20026,Presque Isle,ME,F_35_39,623.67538
2010,Census+HUD,20027,Rockland,ME,F_35_39,1392.2089700000001
2010,Census+HUD,20028,Rumford,ME,F_35_39,476.7796000000001
2010,Census+HUD,20029,Sanford,ME,F_35_39,1487.1190000000001
2010,Census+HUD,20030,Skowhegan,ME,F_35_39,923.38846
2010,Census+HUD,20031,Waterville,ME,F_35_39,2179.7228800000003
2010,Census+HUD,20033,York,ME,F_35_39,1253.306
2010,Census+HUD,20035,Greenville,ME,F_35_39,58.659499999999994
2010,Census+HUD,30006,Dover,NH,F_35_39,389.72900000000004
2010,Census+HUD,20001,Augusta,ME,F_40_44,2499.18574
2010,Census+HUD,20002,Bangor,ME,F_40_44,4318.711499999999
2010,Census+HUD,20003,Bar Harbor,ME,F_40_44,349.28082
2010,Census+HUD,20005,Belfast,ME,F_40_44,685.5282
2010,Census+HUD,20006,Biddeford,ME,F_40_44,2785.1753400000002
2010,Census+HUD,20007,Blue Hill,ME,F_40_44,388.46790000000004
2010,Census+HUD,20008,Boothbay Harbor,ME,F_40_44,204.93858
2010,Census+HUD,20009,Bridgton,ME,F_40_44,699.0726999999999
2010,Census+HUD,20010,Brunswick,ME,F_40_44,2679.24938
2010,Census+HUD,20011,Calais,ME,F_40_44,372.47903
2010,Census+HUD,20012,Caribou,ME,F_40_44,612.42944
2010,Census+HUD,20013,Damariscotta,ME,F_40_44,356.80722000000003
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_40_44,725.70825
2010,Census+HUD,20015,Ellsworth,ME,F_40_44,886.5699200000001
2010,Census+HUD,20016,Farmington,ME,F_40_44,1274.15761
2010,Census+HUD,20017,Fort Kent,ME,F_40_44,463.07562
2010,Census+HUD,20018,Houlton,ME,F_40_44,545.44411
2010,Census+HUD,20019,Lewiston,ME,F_40_44,4138.36877
2010,Census+HUD,20020,Lincoln,ME,F_40_44,420.64291000000003
2010,Census+HUD,20021,Machias,ME,F_40_44,518.00716
2010,Census+HUD,20022,Millinocket,ME,F_40_44,362.44367
2010,Census+HUD,20023,Norway,ME,F_40_44,907.2900099999999
2010,Census+HUD,20024,Pittsfield,ME,F_40_44,657.75176
2010,Census+HUD,20025,Portland,ME,F_40_44,9277.925430000001
2010,Census+HUD,20026,Presque Isle,ME,F_40_44,717.50539
2010,Census+HUD,20027,Rockland,ME,F_40_44,1579.84758
2010,Census+HUD,20028,Rumford,ME,F_40_44,573.51805
2010,Census+HUD,20029,Sanford,ME,F_40_44,1729.44626
2010,Census+HUD,20030,Skowhegan,ME,F_40_44,1086.507
2010,Census+HUD,20031,Waterville,ME,F_40_44,2514.62762
2010,Census+HUD,20033,York,ME,F_40_44,1457.53324
2010,Census+HUD,20035,Greenville,ME,F_40_44,74.02104999999999
2010,Census+HUD,30006,Dover,NH,F_40_44,453.23566
2010,Census+HUD,20001,Augusta,ME,F_45_49,2948.64619
2010,Census+HUD,20002,Bangor,ME,F_45_49,5188.9117
2010,Census+HUD,20003,Bar Harbor,ME,F_45_49,433.52946
2010,Census+HUD,20005,Belfast,ME,F_45_49,858.8609399999999
2010,Census+HUD,20006,Biddeford,ME,F_45_49,3337.185
2010,Census+HUD,20007,Blue Hill,ME,F_45_49,482.1687
2010,Census+HUD,20008,Boothbay Harbor,ME,F_45_49,248.66388
2010,Census+HUD,20009,Bridgton,ME,F_45_49,814.5387000000001
2010,Census+HUD,20010,Brunswick,ME,F_45_49,3150.11523
2010,Census+HUD,20011,Calais,ME,F_45_49,414.71892
2010,Census+HUD,20012,Caribou,ME,F_45_49,740.36032
2010,Census+HUD,20013,Damariscotta,ME,F_45_49,432.93492000000003
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_45_49,814.9481900000001
2010,Census+HUD,20015,Ellsworth,ME,F_45_49,1082.3527800000002
2010,Census+HUD,20016,Farmington,ME,F_45_49,1564.994
2010,Census+HUD,20017,Fort Kent,ME,F_45_49,559.80786
2010,Census+HUD,20018,Houlton,ME,F_45_49,655.7074299999999
2010,Census+HUD,20019,Lewiston,ME,F_45_49,4727.812370000001
2010,Census+HUD,20020,Lincoln,ME,F_45_49,503.54648000000003
2010,Census+HUD,20021,Machias,ME,F_45_49,576.7502400000001
2010,Census+HUD,20022,Millinocket,ME,F_45_49,434.0462
2010,Census+HUD,20023,Norway,ME,F_45_49,1130.88608
2010,Census+HUD,20024,Pittsfield,ME,F_45_49,761.27664
2010,Census+HUD,20025,Portland,ME,F_45_49,10448.620550000001
2010,Census+HUD,20026,Presque Isle,ME,F_45_49,867.38567
2010,Census+HUD,20027,Rockland,ME,F_45_49,1870.66174
2010,Census+HUD,20028,Rumford,ME,F_45_49,715.0616
2010,Census+HUD,20029,Sanford,ME,F_45_49,2072.215
2010,Census+HUD,20030,Skowhegan,ME,F_45_49,1229.47156
2010,Census+HUD,20031,Waterville,ME,F_45_49,2956.66269
2010,Census+HUD,20033,York,ME,F_45_49,1746.41
2010,Census+HUD,20035,Greenville,ME,F_45_49,81.62659
2010,Census+HUD,30006,Dover,NH,F_45_49,543.065
2010,Census+HUD,20001,Augusta,ME,F_50_54,3142.64681
2010,Census+HUD,20002,Bangor,ME,F_50_54,5404.22912
2010,Census+HUD,20003,Bar Harbor,ME,F_50_54,474.28864
2010,Census+HUD,20005,Belfast,ME,F_50_54,967.5422399999999
2010,Census+HUD,20006,Biddeford,ME,F_50_54,3414.92178
2010,Census+HUD,20007,Blue Hill,ME,F_50_54,527.5008
2010,Census+HUD,20008,Boothbay Harbor,ME,F_50_54,292.95951
2010,Census+HUD,20009,Bridgton,ME,F_50_54,843.9406
2010,Census+HUD,20010,Brunswick,ME,F_50_54,3244.5129899999997
2010,Census+HUD,20011,Calais,ME,F_50_54,482.09329
2010,Census+HUD,20012,Caribou,ME,F_50_54,769.1712
2010,Census+HUD,20013,Damariscotta,ME,F_50_54,510.05559
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_50_54,935.1596199999999
2010,Census+HUD,20015,Ellsworth,ME,F_50_54,1194.88246
2010,Census+HUD,20016,Farmington,ME,F_50_54,1662.88277
2010,Census+HUD,20017,Fort Kent,ME,F_50_54,581.5926000000001
2010,Census+HUD,20018,Houlton,ME,F_50_54,685.9179399999999
2010,Census+HUD,20019,Lewiston,ME,F_50_54,4604.1377
2010,Census+HUD,20020,Lincoln,ME,F_50_54,520.8903
2010,Census+HUD,20021,Machias,ME,F_50_54,670.44788
2010,Census+HUD,20022,Millinocket,ME,F_50_54,449.07374
2010,Census+HUD,20023,Norway,ME,F_50_54,1222.5278799999999
2010,Census+HUD,20024,Pittsfield,ME,F_50_54,792.26896
2010,Census+HUD,20025,Portland,ME,F_50_54,10550.629380000002
2010,Census+HUD,20026,Presque Isle,ME,F_50_54,901.1397
2010,Census+HUD,20027,Rockland,ME,F_50_54,2202.25427
2010,Census+HUD,20028,Rumford,ME,F_50_54,773.095
2010,Census+HUD,20029,Sanford,ME,F_50_54,2120.48542
2010,Census+HUD,20030,Skowhegan,ME,F_50_54,1286.7992800000002
2010,Census+HUD,20031,Waterville,ME,F_50_54,3142.66616
2010,Census+HUD,20033,York,ME,F_50_54,1787.09108
2010,Census+HUD,20035,Greenville,ME,F_50_54,96.42202
2010,Census+HUD,30006,Dover,NH,F_50_54,555.71522
2010,Census+HUD,20001,Augusta,ME,F_55_59,2883.35319
2010,Census+HUD,20002,Bangor,ME,F_55_59,4905.99216
2010,Census+HUD,20003,Bar Harbor,ME,F_55_59,478.7741
2010,Census+HUD,20005,Belfast,ME,F_55_59,941.3472599999999
2010,Census+HUD,20006,Biddeford,ME,F_55_59,3184.0671
2010,Census+HUD,20007,Blue Hill,ME,F_55_59,532.4895
2010,Census+HUD,20008,Boothbay Harbor,ME,F_55_59,294.86061
2010,Census+HUD,20009,Bridgton,ME,F_55_59,758.8294000000001
2010,Census+HUD,20010,Brunswick,ME,F_55_59,3014.84821
2010,Census+HUD,20011,Calais,ME,F_55_59,471.96968000000004
2010,Census+HUD,20012,Caribou,ME,F_55_59,787.6736
2010,Census+HUD,20013,Damariscotta,ME,F_55_59,513.36549
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_55_59,888.73053
2010,Census+HUD,20015,Ellsworth,ME,F_55_59,1200.6114200000002
2010,Census+HUD,20016,Farmington,ME,F_55_59,1539.51876
2010,Census+HUD,20017,Fort Kent,ME,F_55_59,595.5828
2010,Census+HUD,20018,Houlton,ME,F_55_59,696.2713200000001
2010,Census+HUD,20019,Lewiston,ME,F_55_59,4075.6525199999996
2010,Census+HUD,20020,Lincoln,ME,F_55_59,469.22665
2010,Census+HUD,20021,Machias,ME,F_55_59,656.36896
2010,Census+HUD,20022,Millinocket,ME,F_55_59,406.75345
2010,Census+HUD,20023,Norway,ME,F_55_59,1071.73687
2010,Census+HUD,20024,Pittsfield,ME,F_55_59,725.6085
2010,Census+HUD,20025,Portland,ME,F_55_59,9656.83414
2010,Census+HUD,20026,Presque Isle,ME,F_55_59,922.8166
2010,Census+HUD,20027,Rockland,ME,F_55_59,2204.73515
2010,Census+HUD,20028,Rumford,ME,F_55_59,679.27615
2010,Census+HUD,20029,Sanford,ME,F_55_59,1977.1369
