year,agesex_grp,hsanum,hsacity,hsastate,hsa_pop
2010,F_70_74,20002,Bangor,ME,2403.10542
2010,F_70_74,20003,Bar Harbor,ME,230.1236
2010,F_70_74,20005,Belfast,ME,420.79169999999993
2010,F_70_74,20006,Biddeford,ME,1474.25055
2010,F_70_74,20007,Blue Hill,ME,255.942
2010,F_70_74,20008,Boothbay Harbor,ME,158.74185
2010,F_70_74,20009,Bridgton,ME,352.6583
2010,F_70_74,20010,Brunswick,ME,1387.85943
2010,F_70_74,20011,Calais,ME,284.50835
2010,F_70_74,20012,Caribou,ME,447.75808
2010,F_70_74,20013,Damariscotta,ME,276.37665
2010,F_70_74,20014,Dover-Foxcroft,ME,476.79996
2010,F_70_74,20015,Ellsworth,ME,598.9529
2010,F_70_74,20016,Farmington,ME,768.91891
2010,F_70_74,20017,Fort Kent,ME,338.56284
2010,F_70_74,20018,Houlton,ME,395.14162
2010,F_70_74,20019,Lewiston,ME,1948.93743
2010,F_70_74,20020,Lincoln,ME,232.42262000000002
2010,F_70_74,20021,Machias,ME,395.6662
2010,F_70_74,20022,Millinocket,ME,202.82685999999998
2010,F_70_74,20023,Norway,ME,550.13014
2010,F_70_74,20024,Pittsfield,ME,364.2433
2010,F_70_74,20025,Portland,ME,4215.84943
2010,F_70_74,20026,Presque Isle,ME,524.58098
2010,F_70_74,20027,Rockland,ME,1138.48715
2010,F_70_74,20028,Rumford,ME,348.5173
2010,F_70_74,20029,Sanford,ME,915.43145
2010,F_70_74,20030,Skowhegan,ME,608.42476
2010,F_70_74,20031,Waterville,ME,1354.11266
2010,F_70_74,20033,York,ME,771.5023
2010,F_70_74,20035,Greenville,ME,50.88086
2010,F_70_74,30006,Dover,NH,239.90695
2010,F_70_74,30022,Portsmouth,NH,0
2010,F_75_79,20001,Augusta,ME,1139.12735
2010,F_75_79,20002,Bangor,ME,2045.7740599999997
2010,F_75_79,20003,Bar Harbor,ME,188.97438
2010,F_75_79,20005,Belfast,ME,337.74803999999995
2010,F_75_79,20006,Biddeford,ME,1210.02402
2010,F_75_79,20007,Blue Hill,ME,210.17610000000002
2010,F_75_79,20008,Boothbay Harbor,ME,130.98579
